CSV, Chiang Mai,,,,,,,
INFO:1,null,,,,,,,
INFO:2,null,,,,,,,
DTG, 2023-11-17 04:50:00,,,,,,,
LAT,18.8, N,,,,,,
LON,99, E,,,,,,
ELEV,316,,,,,,,
TEMPERATURE, C,,,,,,,
MOISTURE, TD,,,,,,,
WIND, kts,,,,,,,
GPM, AGL,,,,,,,
MISSING,-999,,,,,,,
SORT, YES,,,,,,,
RAOB/DATA,,,,,,,,
PRES, TEMP, TD, WIND, SPEED, GPM, VapDen, LiqWat, WSPEED
549.4,0.8,-6,-999,-999,4850,5.8,0,-999
546,0.6,-6.4,-999,-999,4900,5.7,0,-999
542.6,0.3,-6.7,-999,-999,4950,5.6,0,-999
539.2,0,-7.1,-999,-999,5000,5.5,0,-999
535.9,-0.3,-7.4,-999,-999,5050,5.3,0,-999
532.5,-0.7,-7.7,-999,-999,5100,5.2,0,-999
529.2,-1,-8,-999,-999,5150,5,0,-999
525.9,-1.4,-8.3,-999,-999,5200,4.8,0,-999
522.5,-1.7,-8.6,-999,-999,5250,4.7,0,-999
519.3,-2.1,-8.9,-999,-999,5300,4.7,0,-999
516,-2.5,-9.2,-999,-999,5350,4.7,0,-999
512.8,-2.8,-9.6,-999,-999,5400,4.7,0,-999
509.5,-3.2,-9.9,-999,-999,5450,4.8,0,-999
506.3,-3.5,-10.2,-999,-999,5500,4.8,0,-999
503.1,-3.9,-10.6,-999,-999,5550,4.8,0,-999
499.9,-4.2,-11,-999,-999,5600,4.9,0,-999
496.8,-4.5,-11.4,-999,-999,5650,4.9,0,-999
493.6,-4.8,-11.7,-999,-999,5700,5,0,-999
490.4,-5.2,-12.1,-999,-999,5750,5,0,-999
487.4,-5.5,-12.5,-999,-999,5800,4.9,0,-999
484.3,-5.8,-12.9,-999,-999,5850,4.8,0,-999
481.2,-6,-13.3,-999,-999,5900,4.7,0,-999
478.1,-6.3,-13.7,-999,-999,5950,4.6,0,-999
475,-6.6,-14.1,-999,-999,6000,4.5,0,-999
472,-6.9,-14.3,-999,-999,6050,4.3,0,-999
469,-7.2,-14.4,-999,-999,6100,4.1,0,-999
466,-7.5,-14.6,-999,-999,6150,3.9,0,-999
463,-7.8,-14.8,-999,-999,6200,3.6,0,-999
460,-8.1,-14.9,-999,-999,6250,3.4,0,-999
457.1,-8.4,-15.4,-999,-999,6300,3.3,0,-999
454.1,-8.6,-16,-999,-999,6350,3.3,0,-999
